creditability,account_balance,previous_credit_payment_status,credit_duration_month,purpose_of_earlier_credit,credit_amount,installment_percent,current_emploment_length,sex_and_marital_status,guarantors,duration_at_current_address,most_valuable_available_asset,age,concurrent_credits,apartmenttype,howmanycreditsat_this_bank,occupation,dependents,telephone,foreign_worker
1,1,4,18,2,1049,4,2,2,1,4,2,21,3,1,1,3,1,1,1
1,1,4,9,0,2799,2,3,3,1,2,1,36,3,1,2,3,2,1,1
1,2,2,12,9,841,2,4,2,1,4,1,23,3,1,1,2,1,1,1
1,1,4,12,0,2122,3,3,3,1,2,1,39,3,1,2,2,2,1,2
1,1,4,12,0,2171,4,3,3,1,4,2,38,1,2,2,2,1,1,2
1,1,4,10,0,2241,1,2,3,1,3,1,48,3,1,2,2,2,1,2
1,1,4,8,0,3398,1,4,3,1,4,1,39,3,2,2,2,1,1,2
1,1,4,6,0,1361,2,2,3,1,4,1,40,3,2,1,2,2,1,2
1,4,4,18,3,1098,4,1,2,1,4,3,65,3,2,2,1,1,1,1
1,2,2,24,3,3758,1,1,2,1,4,4,23,3,1,1,1,1,1,1
1,1,4,11,0,3905,2,3,3,1,2,1,36,3,1,2,3,2,1,1
1,1,4,30,1,6187,1,4,4,1,4,3,24,3,1,2,3,1,1,1
1,1,4,6,3,1957,1,4,2,1,4,3,31,3,2,1,3,1,1,1
1,2,3,48,10,7582,2,1,3,1,4,4,31,3,2,1,4,1,2,1
1,1,2,18,3,1936,2,4,4,1,4,3,23,3,1,2,2,1,1,1
1,1,2,6,3,2647,2,3,3,1,3,1,44,3,1,1,3,2,1,1
1,1,4,11,0,3939,1,3,3,1,2,1,40,3,2,2,2,2,1,1
1,2,2,18,3,3213,1,2,4,1,3,1,25,3,1,1,3,1,1,1
1,2,4,36,3,2337,4,5,3,1,4,1,36,3,2,1,3,1,1,1
1,4,4,11,0,7228,1,3,3,1,4,2,39,3,2,2,2,1,1,1
1,1,4,6,0,3676,1,3,3,1,3,1,37,3,1,3,3,2,1,1
1,2,4,12,0,3124,1,2,3,1,3,1,49,1,2,2,2,2,1,1
0,2,2,36,5,2384,4,2,3,1,1,4,33,3,1,1,2,1,1,1
1,2,4,12,4,1424,4,4,3,1,3,2,26,3,2,1,3,1,1,1
1,1,4,6,0,4716,1,2,3,1,3,1,44,3,2,2,2,2,1,1
1,2,3,11,3,4771,2,4,3,1,4,2,51,3,2,1,3,1,1,1
1,1,2,12,2,652,4,5,2,1,4,2,24,3,1,1,3,1,1,1
1,2,4,9,3,1154,2,5,3,1,4,1,37,3,2,3,2,1,1,1
1,4,2,15,0,3556,3,3,3,1,2,4,29,3,2,1,3,1,1,1
1,3,4,42,1,4796,4,5,3,1,4,4,56,3,3,1,3,1,1,1
1,3,4,30,3,3017,4,5,3,1,4,2,47,3,2,1,3,1,1,1
1,4,4,36,0,3535,4,4,3,1,4,3,37,3,2,2,3,1,2,1
1,4,4,36,0,6614,4,5,3,1,4,3,34,3,2,2,4,1,2,1
1,4,2,24,3,1376,4,4,2,1,1,3,28,3,2,1,3,1,1,1
1,1,2,15,0,1721,2,2,3,1,3,1,36,3,2,1,3,1,1,1
1,1,4,6,0,860,1,5,2,1,4,4,39,3,2,2,3,1,2,1
1,4,4,12,0,1495,4,5,3,1,1,1,38,3,2,2,2,2,1,1
1,4,4,12,3,1934,2,5,3,1,2,4,26,3,2,2,3,1,1,1
1,4,2,18,1,3378,2,3,3,1,1,2,31,3,2,1,3,1,2,1
1,4,4,24,1,3868,4,5,2,1,2,3,41,3,1,2,4,1,2,1
1,4,4,12,5,996,4,4,2,1,4,1,23,3,2,2,3,1,1,1
1,1,2,24,10,1755,4,5,2,3,4,1,58,3,2,1,2,1,2,1
1,4,4,18,0,1028,4,3,2,1,3,1,36,3,2,2,3,1,1,1
1,2,4,24,9,2825,4,4,3,1,3,4,34,3,2,2,3,2,2,1
1,2,2,18,6,1239,4,3,3,1,4,4,61,3,3,1,3,1,1,1
0,1,2,18,0,1216,4,2,2,1,3,3,23,3,1,1,3,1,2,1
1,4,2,24,9,1258,4,4,3,1,1,1,25,3,2,1,3,1,2,1
0,4,4,18,6,1864,4,3,2,1,2,1,30,3,2,2,3,1,1,1
1,4,2,24,0,1474,4,2,4,1,3,1,33,3,2,1,3,1,2,1
1,1,4,24,9,1382,4,4,3,1,1,1,26,3,2,2,3,1,2,1
1,4,2,12,0,640,4,3,1,1,2,1,49,3,2,1,2,1,1,1
1,3,2,36,3,3919,2,3,3,1,2,1,23,3,2,1,3,1,2,1
1,4,4,9,0,1224,3,3,3,1,1,1,30,3,2,2,3,1,1,1
1,4,4,12,3,2331,1,5,3,2,4,1,49,3,2,1,3,1,2,1
1,4,2,24,1,6313,3,5,3,1,4,3,41,3,2,1,4,2,2,1
1,1,4,12,3,385,4,4,2,1,3,1,58,3,2,4,2,1,2,1
1,4,4,12,3,1655,2,5,3,1,4,1,63,3,2,2,2,1,2,1
1,1,2,15,3,1053,4,2,4,1,2,1,27,3,2,1,3,1,1,2
1,4,2,21,3,3160,4,5,3,1,3,2,41,3,2,1,3,1,2,1
1,4,2,36,0,3079,4,3,3,1,4,1,36,3,2,1,3,1,1,1
1,4,4,12,0,1163,4,3,3,1,4,1,44,3,2,1,3,1,2,1
1,4,2,24,1,2679,4,2,2,1,1,4,29,3,2,1,4,1,2,1
1,4,4,48,3,3578,4,5,3,1,1,1,47,3,2,1,3,1,2,1
1,4,3,36,0,10875,2,5,3,1,2,3,45,3,2,2,3,2,2,1
1,1,3,12,0,1344,4,3,3,1,2,1,43,3,2,2,2,2,1,1
1,4,4,6,3,1237,1,3,2,1,1,2,27,3,2,2,3,1,1,1
1,4,2,12,3,3077,2,3,3,1,4,3,52,3,2,1,3,1,2,1
1,4,2,24,3,2284,4,4,3,1,2,3,28,3,2,1,3,1,2,1
1,2,2,12,3,1567,1,3,2,1,1,3,22,3,2,1,3,1,2,1
1,4,3,24,0,2032,4,5,3,1,4,4,60,3,3,2,3,1,2,1
