HEEL VOLUME,Actual Volume,C4C5LPMON,C4C5LPAPI,C4C5LPARO,C4C5LPBNZ,C4C5LPDI,C4C5LPFBP,C4C5LPIBP,C4C5LPOLE,C4C5LPRON,C4C5LPRVP,C4C5LPSPG,C4C5LPSUL,C4C5LPT10,C4C5LPT50,C4C5LPT90,C4C5LPTVL,HVYFCCMON,HVYFCCAPI,HVYFCCARO,HVYFCCBNZ,HVYFCCDI,HVYFCCFBP,HVYFCCIBP,HVYFCCOLE,HVYFCCRON,HVYFCCRVP,HVYFCCSPG,HVYFCCSUL,HVYFCCT10,HVYFCCT50,HVYFCCT90,HVYFCCTVL,HVYREFMON,HVYREFAPI,HVYREFARO,HVYREFBNZ,HVYREFDI,HVYREFFBP,HVYREFIBP,HVYREFOLE,HVYREFRON,HVYREFRVP,HVYREFSPG,HVYREFSUL,HVYREFT10,HVYREFT50,HVYREFT90,HVYREFTVL,HYDRO2MON,HYDRO2API,HYDRO2ARO,HYDRO2BNZ,HYDRO2DI,HYDRO2FBP,HYDRO2IBP,HYDRO2OLE,HYDRO2RON,HYDRO2RVP,HYDRO2SPG,HYDRO2SUL,HYDRO2T10,HYDRO2T50,HYDRO2T90,HYDRO2TVL,LITFCCMON,LITFCCAPI,LITFCCARO,LITFCCBNZ,LITFCCDI,LITFCCFBP,LITFCCIBP,LITFCCOLE,LITFCCRON,LITFCCRVP,LITFCCSPG,LITFCCSUL,LITFCCT10,LITFCCT50,LITFCCT90,LITFCCTVL,LITISOMON,LITISOAPI,LITISOARO,LITISOBNZ,LITISODI,LITISOFBP,LITISOIBP,LITISOOLE,LITISORON,LITISORVP,LITISOSPG,LITISOSUL,LITISOT10,LITISOT50,LITISOT90,LITISOTVL,LTALKYMON,LTALKYAPI,LTALKYARO,LTALKYBNZ,LTALKYDI,LTALKYFBP,LTALKYIBP,LTALKYOLE,LTALKYRON,LTALKYRVP,LTALKYSPG,LTALKYSUL,LTALKYT10,LTALKYT50,LTALKYT90,LTALKYTVL,NC4LPGMON,NC4LPGAPI,NC4LPGARO,NC4LPGBNZ,NC4LPGDI,NC4LPGFBP,NC4LPGIBP,NC4LPGOLE,NC4LPGRON,NC4LPGRVP,NC4LPGSPG,NC4LPGSUL,NC4LPGT10,NC4LPGT50,NC4LPGT90,NC4LPGTVL,NHTFEDMON,NHTFEDAPI,NHTFEDARO,NHTFEDBNZ,NHTFEDDI,NHTFEDFBP,NHTFEDIBP,NHTFEDOLE,NHTFEDRON,NHTFEDRVP,NHTFEDSPG,NHTFEDSUL,NHTFEDT10,NHTFEDT50,NHTFEDT90,NHTFEDTVL,PENTANMON,PENTANAPI,PENTANARO,PENTANBNZ,PENTANDI,PENTANFBP,PENTANIBP,PENTANOLE,PENTANRON,PENTANRVP,PENTANSPG,PENTANSUL,PENTANT10,PENTANT50,PENTANT90,PENTANTVL,PURLOBMON,PURLOBAPI,PURLOBARO,PURLOBBNZ,PURLOBDI,PURLOBFBP,PURLOBIBP,PURLOBOLE,PURLOBRON,PURLOBRVP,PURLOBSPG,PURLOBSUL,PURLOBT10,PURLOBT50,PURLOBT90,PURLOBTVL,RDU2HRMON,RDU2HRAPI,RDU2HRARO,RDU2HRBNZ,RDU2HRDI,RDU2HRFBP,RDU2HRIBP,RDU2HROLE,RDU2HRRON,RDU2HRRVP,RDU2HRSPG,RDU2HRSUL,RDU2HRT10,RDU2HRT50,RDU2HRT90,RDU2HRTVL,SPECM1MON,SPECM1API,SPECM1ARO,SPECM1BNZ,SPECM1DI,SPECM1FBP,SPECM1IBP,SPECM1OLE,SPECM1RON,SPECM1RVP,SPECM1SPG,SPECM1SUL,SPECM1T10,SPECM1T50,SPECM1T90,SPECM1TVL,SPECM2MON,SPECM2API,SPECM2ARO,SPECM2BNZ,SPECM2DI,SPECM2FBP,SPECM2IBP,SPECM2OLE,SPECM2RON,SPECM2RVP,SPECM2SPG,SPECM2SUL,SPECM2T10,SPECM2T50,SPECM2T90,SPECM2TVL,SPECM3MON,SPECM3API,SPECM3ARO,SPECM3BNZ,SPECM3DI,SPECM3FBP,SPECM3IBP,SPECM3OLE,SPECM3RON,SPECM3RVP,SPECM3SPG,SPECM3SUL,SPECM3T10,SPECM3T50,SPECM3T90,SPECM3TVL,WHALKYMON,WHALKYAPI,WHALKYARO,WHALKYBNZ,WHALKYDI,WHALKYFBP,WHALKYIBP,WHALKYOLE,WHALKYRON,WHALKYRVP,WHALKYSPG,WHALKYSUL,WHALKYT10,WHALKYT50,WHALKYT90,WHALKYTVL,WHOREFMON,WHOREFAPI,WHOREFARO,WHOREFBNZ,WHOREFDI,WHOREFFBP,WHOREFIBP,WHOREFOLE,WHOREFRON,WHOREFRVP,WHOREFSPG,WHOREFSUL,WHOREFT10,WHOREFT50,WHOREFT90,WHOREFTVL,API,RON,MON,RVP,TVL,DI,ARO,OLE,BNZ,SUL
33.281,55.105,2.19868,2.820675,0.002893,0.002893,12.23739,4.0502,0.5786,0.02893,2.25654,0.72325,0.017875847,4.032842,0.89683,2.37226,3.7609,0.931546,10.514438,4.508033,8.111876,0.0103336,258.46917,55.5431,18.85882,1.201281,11.88364,0.1653376,0.109846168,16.882519,42.23859,47.66373,52.05551,30.677875,1.913418,0.588744,1.945242,0,36.83628,8.27424,6.30513,0.015912,2.104362,0.0069615,0.017469387,0.003978,6.50403,6.66315,7.08084,4.684095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.27436,34.30167,8.87679,0.361647,582.47085,187.94685,50.95935,19.17825,50.247015,4.2575715,0.39945555,18.6303,71.78145,105.2064,158.9055,77.58972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95692,4.69752,0.004232,0.004232,7.23672,1.39656,1.22728,0.04232,4.04156,2.116,0.02469372,0.8464,1.2696,1.31192,1.3754,-3.347512,1.724488,2.119912,0.2746,0.0318536,23.12132,5.02518,3.92678,0.129062,1.779408,0.159268,0.01861788,0.02746,4.119,4.20138,4.33868,4.031128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.787288,10.502392,9.840824,0.5147826,257.3913,71.73878,23.98184,0.41348,18.565252,0.816623,0.160471588,0.041348,36.59298,47.5502,59.74786,35.745346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,91.1,81.6,9.78,,,28.2,20.2,0.8,71
8.584,62.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.688788,1.442704,4.766772,0,90.26648,20.27584,15.45058,0.038992,5.156692,0.017059,0.042808342,0.009748,15.93798,16.3279,17.35144,11.47827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.690768,23.002996,5.952852,0.2425236,390.60998,126.03878,34.17378,12.8611,33.696082,2.8551642,0.26787834,12.49364,48.13726,70.55232,106.5634,52.032336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.043176,17.357208,0.143448,0,267.05236,66.70332,21.5172,0.047816,22.59306,1.5827096,0.165754164,0,36.10108,52.11944,56.42288,36.985676,8.77404,10.41624,0.009384,0.009384,16.04664,3.09672,2.72136,0.09384,8.96172,4.692,0.05475564,1.8768,2.8152,2.90904,3.0498,-7.422744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.700517,18.024663,0.050278,0,298.65132,108.85187,20.61398,0.050278,23.027324,2.2423988,0.175067996,1.50834,33.68626,55.55719,81.45036,35.797936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.9,94.4,87.1,12.93,116,1095,13.8,9.2,0.26,16
20.185,122.886,1.03892,1.332825,0.001367,0.001367,5.78241,1.9138,0.2734,0.01367,1.06626,0.34175,0.008446693,1.905598,0.42377,1.12094,1.7771,0.440174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.583696,13.623012,3.525444,0.1436292,231.33006,74.64366,20.23866,7.6167,19.955754,1.6909074,0.15864498,7.39908,28.50822,41.78304,63.1098,30.814992,16.58928,17.091324,0.10914,0.0567528,172.4412,46.71192,19.42692,0.043656,16.742076,2.4403704,0.14722986,0.21828,25.32048,31.21404,40.81836,25.385964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40565,9.9789,0.00899,0.00899,15.3729,2.9667,2.6071,0.0899,8.58545,4.495,0.05245665,1.798,2.697,2.7869,2.92175,-7.11109,3.094784,3.804416,0.4928,0.0571648,41.49376,9.01824,7.04704,0.231616,3.193344,0.285824,0.03341184,0.04928,7.392,7.53984,7.78624,7.234304,3.13803,3.687698,0.004102,0.004102,16.16188,5.1275,0.8204,0.004102,3.232376,0.8204,0.026215882,0.08204,1.0255,3.36364,4.5122,2.11253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.406584,17.814316,18.814288,0.2111052,467.76468,111.84872,75.9238,1.407368,32.22132,0.5962796,0.291806644,0.37036,81.10884,84.07172,93.70108,70.516544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1,86.3,80.6,11.81,120,1000,22.4,8.2,0.75,12
8.096,58.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.873952,7.961216,26.304288,0,498.11392,111.88736,85.26032,0.215168,28.455968,0.094136,0.236227568,0.053792,87.94992,90.1016,95.74976,63.34008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.471696,20.509012,5.307444,0.2162292,348.26006,112.37366,30.46866,11.4667,30.042754,2.5456074,0.23883498,11.13908,42.91822,62.90304,95.0098,46.390992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.160616,2.488728,0.020568,0,38.29076,9.56412,3.0852,0.006856,3.23946,0.2255624,0.023766324,0,5.17628,7.47304,8.09008,5.309972,9.863315,11.70939,0.010549,0.010549,18.03879,3.48117,3.05921,0.10549,10.074295,5.2745,0.061553415,2.1098,3.1647,3.27019,3.428425,-8.344259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23781,7.330446,0.008154,0.008154,32.12676,10.1925,1.6308,0.008154,6.425352,1.6308,0.052112214,0.106002,2.0385,6.68628,8.9694,4.19931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.457175,13.140225,0.127575,0,213.2325,82.0125,15.309,0.127575,16.6941,1.6092675,0.12666375,1.27575,24.786,39.366,57.9555,25.934175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8,96.5,86.5,12.89,118,1179,28.9,9.5,0.27,15
9.36,44.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.066856,0.943648,3.15612,0,59.07364,13.19832,10.2016,0.022316,3.372904,0.0114768,0.028000204,0.03188,10.45664,10.6798,11.34928,7.514116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.281936,35.194376,9.134846,0.3866898,592.36394,189.42196,52.11906,19.502616,51.390514,4.5057768,0.408153886,20.287204,72.8546,107.04022,161.96138,78.514842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.732485,6.80541,0.006131,0.006131,10.48401,2.02323,1.77799,0.06131,5.855105,3.0655,0.035774385,1.2262,1.8393,1.90061,1.992575,-4.849621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13282,2.506412,0.002788,0.002788,10.98472,3.485,0.5576,0.002788,2.196944,0.5576,0.017818108,0.036244,0.697,2.28616,3.0668,1.43582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.772313,15.259503,16.374498,0.2994558,409.36245,107.03952,61.48401,0.860139,28.289016,0.573426,0.251256159,0.31857,69.12969,72.95253,86.65104,60.400872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6,91.5,82.1,10.25,,,28.6,15.2,0.66,23
8.8,85.61,3.06204,3.928275,0.004029,0.004029,17.04267,5.6406,0.8058,0.04029,3.14262,1.00725,0.024895191,5.616426,1.24899,3.30378,5.2377,1.297338,17.275522,7.406827,13.328044,0.0169784,424.67223,91.2589,30.98558,1.973739,19.52516,0.2716544,0.180480392,27.738461,69.39921,78.31287,85.52869,50.404625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.008288,4.669808,1.212068,0.0513084,78.59852,25.13368,6.91548,2.587728,6.818812,0.5978544,0.054156388,2.691832,9.6668,14.20276,21.49004,10.417836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1692,2.5752,0.00232,0.00232,3.9672,0.7656,0.6728,0.0232,2.2156,1.16,0.0135372,0.464,0.696,0.7192,0.754,-1.83512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.506075,15.871845,0.017655,0.017655,69.5607,22.06875,3.531,0.017655,13.91214,3.531,0.112833105,0.229515,4.41375,14.4771,19.4205,9.092325,9.8236,11.965025,0.314475,0.02995,115.008,45.07475,12.8785,0.02995,10.3028,1.8134725,0.100227675,0.314475,16.173,19.168,33.2445,16.217925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.030164,8.151876,7.638372,0.3995703,199.78515,55.68309,18.61452,0.32094,14.410206,0.6386706,0.124556814,0.032094,28.40319,36.9081,46.37583,27.729216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8248,11.876312,0.115304,0,192.7224,74.124,13.83648,0.115304,14.956576,1.4544776,0.1144804,1.15304,22.40192,35.57952,52.38096,23.439656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.2,86,81,11.38,121,1111,21.6,4.9,0.66,44
6.06,50.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.148001,3.741736,12.51459,0,234.23773,52.33374,40.4512,0.088487,13.386819,0.0391871,0.111025903,0.12641,41.46248,42.34735,45.00196,29.820119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.70491,26.131708,6.782593,0.2871159,439.82827,140.64518,38.69823,14.480628,38.28212,3.3496855,0.303052913,15.063182,54.0943,79.47701,120.25579,58.297011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61205,17.80515,0.14715,0,273.94425,68.42475,22.0725,0.04905,23.176125,1.623555,0.170031825,0,37.03275,53.4645,57.879,37.940175,10.46452,12.42312,0.011192,0.011192,19.13832,3.69336,3.24568,0.11192,10.68836,5.596,0.06530532,2.2384,3.3576,3.46952,3.6374,-8.852872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0081,7.216489,0.070063,0,117.1053,45.0405,8.40756,0.070063,9.088172,0.8847956,0.06956255,0.70063,13.61224,21.61944,31.82862,14.242807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3,95.6,86.6,12.63,116,1123,16.9,12.8,0.3,17
16.78,124.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59062,4.334456,1.125026,0.0476238,72.95414,23.32876,6.41886,2.401896,6.34984,0.555611,0.050267266,2.498524,8.9726,13.18282,19.94678,9.669702,16.27692,16.769511,0.107085,0.0556842,169.1943,45.83238,19.06113,0.042834,16.426839,2.3944206,0.144457665,0.21417,24.84372,30.62631,40.04979,24.907971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.566505,7.79553,0.007023,0.007023,12.00933,2.31759,2.03667,0.07023,6.706965,3.5115,0.040979205,1.4046,2.1069,2.17713,2.282475,-5.555193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.794585,9.159911,0.010189,0.010189,40.14466,12.73625,2.0378,0.010189,8.028932,2.0378,0.065117899,0.132457,2.54725,8.35498,11.2079,5.247335,5.459888,6.650077,0.174783,0.016646,63.92064,25.05223,7.15778,0.016646,5.726224,1.0104122,0.055705839,0.174783,8.98884,10.65344,18.47706,9.005486,33.105089,19.601159,21.033394,0.3846574,525.83485,137.49456,78.97753,1.104867,36.337848,0.736578,0.322743927,0.40921,88.79857,93.70909,111.30512,77.586216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.250008,2.658872,2.491384,0.1303266,65.1633,18.16198,6.07144,0.10468,4.700132,0.20936,0.040626308,0.010468,9.26418,12.0382,15.12626,9.039118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4,86,80.6,11.8,119,1010,24.4,4,0.71,6
63.498,78.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.779537,3.320232,11.10483,0,207.85101,46.43838,35.8944,0.078519,11.878803,0.0347727,0.098518911,0.11217,36.79176,37.57695,39.93252,26.460903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.05859,41.912092,10.878457,0.4604991,705.43123,225.57782,62.06727,23.225172,61.39988,5.3791634,0.486060137,24.159518,86.7607,127.47149,192.87571,93.4346,1.0982,1.131435,0.007225,0.003757,11.4155,3.0923,1.28605,0.00289,1.108315,0.1614065,0.009746525,0.01445,1.6762,2.06635,2.70215,1.680535,0.452702,0.356466,0.002946,0,5.48447,1.36989,0.4419,0.000982,0.463995,0.0325042,0.003404103,0,0.74141,1.07038,1.15876,0.759577,5.5726,6.6156,0.00596,0.00596,10.1916,1.9668,1.7284,0.0596,5.6918,2.98,0.0347766,1.192,1.788,1.8476,1.937,-4.71436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.002288,5.226,10.93976,0.097552,205.83472,47.10368,27.73264,0.292656,14.465568,0.1755936,0.116686128,0.048776,34.56128,37.6272,41.1112,28.554864,56.1,95.4,84.2,9.88,,,35,18.6,0.7,25
20.163,124.682,0.89376,1.1466,0.001176,0.001176,4.97448,1.6464,0.2352,0.01176,0.91728,0.294,0.007266504,1.460592,0.36456,0.96432,1.5288,0.378672,13.08564,5.667768,9.890496,0.0096336,318.55104,68.71968,22.96008,1.589544,14.675184,0.2633184,0.136203048,23.345424,51.53976,58.92552,64.38456,37.65132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.05739,30.281532,7.859697,0.3327111,509.67483,162.98022,44.84367,16.780212,44.36148,3.8864514,0.351178977,17.455278,62.6847,92.09829,139.35291,67.5066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.450565,7.65789,0.006899,0.006899,11.79729,2.27667,2.00071,0.06899,6.588545,3.4495,0.040255665,1.3798,2.0697,2.13869,2.242175,-5.457109,2.299108,2.826292,0.3661,0.0424676,30.82562,6.69963,5.23523,0.172067,2.372328,0.2119719,0.02482158,0.03661,5.4915,5.60133,5.78438,5.378009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.707376,15.477429,0.406791,0.038742,148.76928,58.30671,16.65906,0.038742,13.327248,2.3458281,0.129650103,0.406791,20.92068,24.79488,43.00362,20.978793,3.744052,2.216812,2.378792,0.0435032,59.4698,15.55008,8.93204,0.124956,4.109664,0.0851552,0.036501036,0.04628,10.04276,10.59812,12.58816,8.765432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,87.5,80.5,11.43,122,1072,21,15,0.57,46
